"Author: A user who can create data sources, datasets, analyses, and dashboards. <br/>Reader: A user who has read-only access to dashboards.","Autor: Ein Benutzer, der Datenquellen, Datensätze, Analysen und Dashboards erstellen kann. <br/>Leser: Ein Benutzer, der nur Lesezugriff auf Dashboards hat."
"Select user role","Benutzerrolle auswählen"
Analytics,Analytics
"The user role for Analytics could not be reset. Please contact your Spryker Success Manager.","Die Benutzerrolle für Analytics konnte nicht zurückgesetzt werden. Bitte kontaktieren Sie Ihren Spryker Success Manager."
"Please be aware that you will be the owner of all default assets (dashboards, analyses, datasets and data sources).","Bitte beachten Sie, dass Sie als Eigentümer aller Standard-Assets (Dashboards, Analysen, Datensätzen und Datenquellen) eingetragen werden."
"If you want to start fresh with a new setup in Analytics, keep these critical points in mind:","Wenn Sie Analytics neu einrichten möchten, sollten Sie die folgenden Punkte beachten:"
"Resetting Analytics restores all default assets (dashboards, analyses, datasets) to their original state, erasing any modifications you've made.","Beim Zurücksetzen von Analytics werden alle Standard-Assets (Dashboards, Analysen, Datensätze) auf ihren ursprünglichen Zustand zurückgesetzt. Dabei gehen sämtliche von Ihnen vorgenommenen Änderungen verloren."
"The user performing the reset becomes the owner of the default assets, and all other users lose access to them.","Der Benutzer, der das Zurücksetzen durchführt, wird automatisch zum Eigentümer der Standard-Assets, während alle anderen Benutzer den Zugriff darauf verlieren."
"Custom assets created by other users remain under their ownership.","Von anderen Benutzern erstellte benutzerdefinierte Assets bleiben in deren Besitz und sind nicht betroffen."
"<b>IMPORTANT:</b> If you or other authors use default datasets in custom analyses, such analyses won't be able to access data for all visuals. To avoid this, duplicate the relevant default datasets and associate them with the custom analyses before proceeding.","<b>WICHTIG:</b> Wenn Sie oder andere Autoren Standard-Datensätze in benutzerdefinierten Analysen verwenden, können diese Analysen nach dem Zurücksetzen nicht mehr auf alle benötigten Daten für alle Visualisierungen zugreifen. Um dies zu verhindern, sollten Sie die relevanten Standard-Datensätze vorab duplizieren und mit den benutzerdefinierten Analysen verknüpfen."
"An error occurred during the Analytics activation. Please try again by clicking the ""Enable Analytics"" button.","Bei der Aktivierung von Analytics ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut, indem Sie auf die Taste ""Analytics aktivieren"" klicken."
"An error occurred during the Analytics reset. Please try again by clicking the ""Reset Analytics"" button.","Beim Zurücksetzen von Analytics ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut, indem Sie auf die Taste ""Analytics zurücksetzen"" klicken."
"Analytics is not enabled yet","Analytics ist noch nicht eingeschaltet"
"You can enable Analytics to view and modify dashboards with the ability to share them with other users.","Schalten Sie Analytics ein, um Dashboards anzuzeigen, zu bearbeiten und mit anderen Benutzern zu teilen."
"Enable Analytics","Analytics einschalten"
"Reset Analytics","Analytics zurücksetzen"
"Analytics is being activated. Please wait 3-5 minutes and reload the page.","Analytics wird aktiviert. Bitte warten Sie 3-5 Minuten und laden Sie die Seite neu."
"Analytics users have been successfully synchronized.","Analytics-Benutzer wurden erfolgreich synchronisiert."
"Synchronize Users","Benutzer synchronisieren"
"CSRF token is not valid.","CSRF-Token ist ungültig."
